No.;nr_lokasi;nr_plot;nr_class;nr_ind;ID_ind;name_sp;nr_circ;nr_dbh;nr_basalarea;canopy_openness;canopy_closedness;canopy_class;nr_FW;nr_DW;sample_extract;sample_la;ft_la;la_sum;ft_sla;ft_ldmc;sample_stomata;ft_stomata;517nm;dpph_batch;dpph_blank;dpph_rsa;dpph_content;ft_dpph;ft_dpphrsa;520nm;proline_sample;proline_content;ft_proline;663nm;645nm;470nm;chla_sample;chlb_sample;totalchl_sample;chla_content;chlb_content;totalchl_content;ft_chla;ft_chlb;ft_totalchl
128;Wanariset;4;3;6;W.04.3.006;Dipterocarpus sp3;39;12.41;1,208,963,585;0.207;0.777;Closed;12.03;5.91;;TRUE;2,574,766,667;772.43;130.70;0.4913;TRUE;10;0.113;106;0.576;80.38;20,095;20,095;80.38;-0.046;-2,705,882,353;-2,705,882,353;0;2,721;2.43;3,434;28.02;42.91;70.91;2,802;4,291,272;7,090,842;2,802;4,291,272;7,090,842
129;Wanariset;4;4;1;W.04.4.001;Diospyros borneensis;77;24.51;4,715,809,785;0.207;0.777;Closed;10.29;5.01;;TRUE;70,524;352.62;70.38;0.4869;TRUE;188;0.47;106;0.576;18.4;4.6;4.6;18.4;-0.035;-2,058,823,529;-2,058,823,529;0;0.34;0.199;0.386;3.78;2.97;6.75;0.378269;0.29659;0.67466;0.378269;0.29659;0.67466
130;Wanariset;5;1;4;W.05.1.004;Utania sp1;;1.14;1,020,186;0.122;0.857;Closed;9.82;4.79;FALSE;TRUE;1,280,333,333;384.1;80.19;0.4878;TRUE;31;0.026;110;0.282;90.78;22,695;22,695;90.78;0.059;3,470,588,235;3,470,588,235;3,470,588,235;0.481;0.232;0.85;5.48;3.06;8.54;0.548462;0.306172;0.854402;0.548462;0.306172;0.854402
131;Wanariset;5;1;12;W.05.1.012;Baccaurea parviflora;;0.76;0.453416;0.122;0.857;Closed;5.39;2.66;FALSE;TRUE;37,418;187.09;70.33;0.4935;TRUE;80;0.005;110;0.282;98.23;245,575;245,575;98.23;-0.054;-3,176,470,588;-3,176,470,588;0;1.14;0.55;1,519;13.00;7.26;20.25;129,985;0.72598;202,528;129,985;0.72598;202,528
132;Wanariset;5;1;21;W.05.1.021;Macaranga lowii;;0.73;0.4183265;0.122;0.857;Closed;5.62;2.39;FALSE;TRUE;102,234;511.17;213.88;0.4253;TRUE;6;0.047;112;0.285;83.51;208,775;208,775;83.51;0.063;3,705,882,353;3,705,882,353;3,705,882,353;1,312;0.624;2,705;14.98;8.15;23.13;1,498,384;0.814944;2,312,704;1,498,384;0.814944;2,312,704
133;Wanariset;5;1;22;W.05.1.022;Ochanostachys amentacea;;0.43;0.1451465;0.122;0.857;Closed;2.75;0.85;FALSE;TRUE;63,855;255.42;300.49;0.3091;TRUE;44;0.003;110;0.282;98.94;24,735;24,735;98.94;0.007;0.4117647059;4,117,647,059;4,117,647,059;2,262;1,321;2,823;25.17;19.66;44.83;2,517,391;1,966,474;4,482,544;2,517,391;1,966,474;4,482,544
134;Wanariset;5;1;31;W.05.1.031;Pternandra coerulescens;;0.45;0.1589625;0.122;0.857;Closed;2.46;0.8;FALSE;TRUE;34.89;139.56;174.45;0.3252;TRUE;47;0.027;111;0.279;90.32;22.58;22.58;90.32;-0.001;-0.05882352941;-0.5882352941;0;1,029;0.407;0.787;11.97;4.50;16.47;1,197,347;0.450458;1,647,398;1,197,347;0.450458;1,647,398
135;Wanariset;5;1;35;W.05.1.035;Shorea laevis;;0.28;0.061544;0.122;0.857;Closed;1.53;0.76;FALSE;TRUE;22,696;113.48;149.32;0.4967;TRUE;97;0.455;112;0.285;-59.65;-149,125;0;0;0.016;0.9411764706;9,411,764,706;9,411,764,706;1,695;0.803;2,673;19.37;10.46;29.81;1,936,643;104,561;298,145;1,936,643;104,561;298,145
136;Wanariset;5;1;60;W.05.1.060;Shorea laevis;;0.4;0.1256;0.122;0.857;Closed;1.14;0.62;FALSE;TRUE;16,008;80.04;129.10;0.5439;TRUE;157;0.465;110;0.282;-64.89;-162,225;0;0;0.142;8,352,941,176;8,352,941,176;8,352,941,176;1,202;0.606;1.97;13.64;8.25;21.88;1,363,526;0.825204;2,188,124;1,363,526;0.825204;2,188,124
137;Wanariset;5;1;77;W.05.1.077;Knema latericia;;0.59;0.2732585;0.122;0.857;Closed;4.63;1.78;FALSE;TRUE;66.34;331.7;186.35;0.3844;FALSE;;0.299;108;0.272;-9.93;-24,825;0;0;0.061;3,588,235,294;3,588,235,294;3,588,235,294;1,935;1,528;2,841;20.46;25.94;46.38;2,046,418;259,354;463,843;2,046,418;259,354;463,843
